,Completed
720575940613598322,True
720575940613613795,True
720575940613633394,True
720575940613652906,True
720575940613676402,True
720575940613695346,True
720575940613718824,True
720575940613747949,True
720575940613772310,True
720575940613792493,True
720575940613814971,True
720575940613840611,True
720575940613867682,True
720575940613896429,True
720575940613927139,True
720575940613956242,True
720575940613981992,True
720575940614009827,True
720575940614037533,True
720575940614060829,True
720575940614093458,True
720575940614116049,True
720575940614137809,True
720575940614166495,True
720575940614190022,True
720575940614208977,True
720575940614227522,True
720575940614250221,True
720575940614276876,True
720575940614295848,True
720575940614311746,True
720575940614332322,True
720575940614351075,True
720575940614374893,True
720575940614392627,True
720575940614414632,True
720575940614434479,True
720575940614461351,True
720575940614484626,True
720575940614514886,True
720575940614540286,True
720575940614559163,True
720575940614579106,True
720575940614601077,True
720575940614617553,True
720575940614635666,True
720575940614654175,True
720575940614673826,True
720575940614688296,True
720575940614708236,True
720575940614723495,True
720575940614737810,True
720575940614755478,True
720575940614775954,True
720575940614792744,True
720575940614815199,True
720575940614831358,True
720575940614853551,True
720575940614880040,True
720575940614904978,True
720575940614926790,True
720575940614947039,True
720575940614968287,True
720575940614993932,True
720575940615015366,True
720575940615035699,True
720575940615054888,True
720575940615071906,True
720575940615088593,True
720575940615104918,True
720575940615125758,True
720575940615139326,True
720575940615163055,True
720575940615185831,True
720575940615204458,True
720575940615219778,True
720575940615239746,True
720575940615257238,True
720575940615272891,True
720575940615298454,True
720575940615322023,True
720575940615341991,True
720575940615361174,True
720575940615380639,True
720575940615402869,True
720575940615420327,True
720575940615438521,True
720575940615459326,True
720575940615479806,True
720575940615501529,True
720575940615520159,True
720575940615542890,True
720575940615569823,True
720575940615593044,True
720575940615612071,True
720575940615630237,True
720575940615651990,True
720575940615675732,True
720575940615693766,True
720575940615712034,True
720575940615730070,True
720575940615747122,True
720575940615767739,True
720575940615792863,True
720575940615814303,True
720575940615838770,True
720575940615861405,True
720575940615885766,True
720575940615903605,True
720575940615925151,True
720575940615946555,True
720575940615962043,True
720575940615977541,True
720575940615996522,True
720575940616014534,True
720575940616029218,True
720575940616048757,True
720575940616070203,True
720575940616088070,True
720575940616110219,True
720575940616128927,True
720575940616145714,True
720575940616161241,True
720575940616182594,True
720575940616201695,True
720575940616222438,True
720575940616242875,True
720575940616268959,True
720575940616288223,True
720575940616303680,True
720575940616322783,True
720575940616343967,True
720575940616365766,True
720575940616387138,True
720575940616400706,True
720575940616418233,True
720575940616440332,True
720575940616465055,True
720575940616484747,True
720575940616503669,True
720575940616527633,True
720575940616545858,True
720575940616565131,True
720575940616581186,True
720575940616600262,True
720575940616620556,True
720575940616641931,True
720575940616665915,True
720575940616690107,True
720575940616713355,True
720575940616739485,True
720575940616761227,True
720575940616781652,True
720575940616799035,True
720575940616819899,True
720575940616835596,True
720575940616851131,True
720575940616866443,True
720575940616887611,True
720575940616904029,True
720575940616921152,True
720575940616940405,True
720575940616956859,True
720575940616975372,True
720575940616992891,True
720575940617011387,True
720575940617027257,True
720575940617042873,True
720575940617065689,True
720575940617088473,True
720575940617105595,True
720575940617126401,True
720575940617146513,True
720575940617172573,True
720575940617191739,True
720575940617211348,True
720575940617228603,True
720575940617251387,True
720575940617273233,True
720575940617289782,True
720575940617303857,True
720575940617319766,True
720575940617337973,True
720575940617358651,True
720575940617376310,True
720575940617393625,True
720575940617414237,True
720575940617432379,True
720575940617452761,True
720575940617471889,True
720575940617487477,True
720575940617500992,True
720575940617519773,True
720575940617538427,True
720575940617557177,True
720575940617574585,True
720575940617592793,True
720575940617611481,True
720575940617625883,True
720575940617641446,True
720575940617656721,True
720575940617674821,True
720575940617689428,True
720575940617707328,True
720575940617725268,True
720575940617744798,True
720575940617759889,True
720575940617782941,True
720575940617801499,True
720575940617818205,True
720575940617832788,True
720575940617847454,True
720575940617868249,True
720575940617884633,True
720575940617902676,True
720575940617918621,True
720575940617936030,True
720575940617950977,True
720575940617969501,True
720575940617982800,True
720575940617998548,True
720575940618014932,True
720575940618032569,True
720575940618046721,True
720575940618059547,True
720575940618073371,True
720575940618086710,True
720575940618099417,True
720575940618117305,True
720575940618133689,True
720575940618150736,True
720575940618161821,True
720575940618176379,True
720575940618190566,True
720575940618202809,True
720575940618218779,True
720575940618234297,True
720575940618248934,True
720575940618263174,True
720575940618277456,True
720575940618293716,True
720575940618310100,True
720575940618324625,True
720575940618343734,True
720575940618364166,True
720575940618379554,True
720575940618394453,True
720575940618409797,True
720575940618427997,True
720575940618444864,True
720575940618462694,True
720575940618475422,True
720575940618490929,True
720575940618510265,True
720575940618528203,True
720575940618544057,True
720575940618561209,True
720575940618574493,True
720575940618593600,True
720575940618609317,True
720575940618628386,True
720575940618647872,True
720575940618665595,True
720575940618680321,True
720575940618694827,True
720575940618711837,True
720575940618727291,True
720575940618744955,True
720575940618759128,True
720575940618773844,True
720575940618793985,True
720575940618814977,True
720575940618833840,True
720575940618851073,True
720575940618868273,True
720575940618886449,True
720575940618901675,True
720575940618922653,True
720575940618938781,True
720575940618954580,True
720575940618971227,True
720575940618986119,True
720575940619000389,True
720575940619021057,True
720575940619039771,True
720575940619056705,True
720575940619070021,True
720575940619084909,True
720575940619104539,True
720575940619119739,True
720575940619139264,True
720575940619153822,True
720575940619169752,True
720575940619192197,True
720575940619212613,True
720575940619233195,True
720575940619249761,True
720575940619266763,True
720575940619284545,True
720575940619300766,True
720575940619320768,True
720575940619344438,True
720575940619367105,True
720575940619390573,True
720575940619412037,True
720575940619428272,True
720575940619446465,True
720575940619469147,True
720575940619490507,True
720575940619513304,True
720575940619538486,True
720575940619559232,True
720575940619578352,True
720575940619596709,True
720575940619610584,True
720575940619627611,True
720575940619644911,True
720575940619661551,True
720575940619676269,True
720575940619688533,True
720575940619703606,True
720575940619718454,True
720575940619734219,True
720575940619749767,True
720575940619763915,True
720575940619779126,True
720575940619795533,True
720575940619814872,True
720575940619834094,True
720575940619846966,True
720575940619865941,True
720575940619880758,True
720575940619899014,True
720575940619913221,True
720575940619928417,True
720575940619941681,True
720575940619961168,True
720575940619972446,True
720575940619986676,True
720575940620001360,True
720575940620014868,True
720575940620027096,True
720575940620037456,True
720575940620051580,True
720575940620065901,True
720575940620082096,True
720575940620096518,True
720575940620113457,True
720575940620124326,True
720575940620139124,True
720575940620153765,True
720575940620169607,True
720575940620182305,True
720575940620197759,True
720575940620210854,True
720575940620226324,True
720575940620241031,True
720575940620254829,True
720575940620271636,True
720575940620287820,True
720575940620305246,True
720575940620319329,True
720575940620333038,True
720575940620346305,True
720575940620357597,True
720575940620375796,True
720575940620393643,True
720575940620411764,True
720575940620423765,True
720575940620439723,True
720575940620451800,True
720575940620464321,True
720575940620476748,True
720575940620491654,True
720575940620505153,True
720575940620517511,True
720575940620532206,True
720575940620544182,True
720575940620556966,True
720575940620568536,True
720575940620578269,True
720575940620591320,True
720575940620602721,True
720575940620612101,True
720575940620624190,True
720575940620636632,True
720575940620649409,True
720575940620658054,True
720575940620670558,True
720575940620680640,True
720575940620690708,True
720575940620699887,True
720575940620710337,True
720575940620720560,True
720575940620731380,True
720575940620743883,True
720575940620754089,True
720575940620767317,True
720575940620778662,True
720575940620792926,True
720575940620806992,True
720575940620818261,True
720575940620830635,True
720575940620844783,True
720575940620859886,True
720575940620872225,True
720575940620882671,True
720575940620894913,True
720575940620906516,True
720575940620917119,True
720575940620927472,True
720575940620937897,True
720575940620950042,True
720575940620959258,True
720575940620971611,True
720575940620982049,True
720575940620995660,True
720575940621009505,True
720575940621020598,True
720575940621033477,True
720575940621046742,True
720575940621060705,True
720575940621072297,True
720575940621083995,True
720575940621094336,True
720575940621105985,True
720575940621117121,True
720575940621127851,True
720575940621139439,True
720575940621150561,True
720575940621166251,True
720575940621179329,True
720575940621192368,True
720575940621204463,True
720575940621222278,True
720575940621233157,True
720575940621245805,True
720575940621259875,True
720575940621270292,True
720575940621283931,True
720575940621296006,True
720575940621308341,True
720575940621321057,True
720575940621332102,True
720575940621342902,True
720575940621353638,True
720575940621364872,True
720575940621375983,True
720575940621387429,True
720575940621398255,True
720575940621409916,True
720575940621422518,True
720575940621434333,True
720575940621446772,True
720575940621457079,True
720575940621472176,True
720575940621485552,True
720575940621498740,True
720575940621510825,True
720575940621522671,True
720575940621538142,True
720575940621548891,True
720575940621561226,True
720575940621572443,True
720575940621582794,True
720575940621593626,True
720575940621603444,True
720575940621612897,True
720575940621623723,True
720575940621636534,True
720575940621644737,True
720575940621656815,True
720575940621668120,True
720575940621678957,True
720575940621689838,True
720575940621701846,True
720575940621714047,True
720575940621727982,True
720575940621739713,True
720575940621752001,True
720575940621762330,True
720575940621771502,True
720575940621781773,True
720575940621792606,True
720575940621802934,True
720575940621811803,True
720575940621823103,True
720575940621835174,True
720575940621849699,True
720575940621863006,True
720575940621880496,True
720575940621891905,True
720575940621904227,True
720575940621919940,True
720575940621931460,True
720575940621947233,True
720575940621957011,True
720575940621971126,True
720575940621986428,True
720575940622002598,True
720575940622015635,True
720575940622028404,True
720575940622040419,True
720575940622052586,True
720575940622063713,True
720575940622073270,True
720575940622084681,True
720575940622093183,True
720575940622105438,True
720575940622114145,True
720575940622125428,True
720575940622134960,True
720575940622145449,True
720575940622158369,True
720575940622173790,True
720575940622186334,True
720575940622198298,True
720575940622206725,True
720575940622217281,True
720575940622227197,True
720575940622239553,True
720575940622252097,True
720575940622266025,True
720575940622276365,True
720575940622288666,True
720575940622301162,True
720575940622312105,True
720575940622321953,True
720575940622334646,True
720575940622345471,True
720575940622355226,True
720575940622365991,True
720575940622377343,True
720575940622390230,True
720575940622402544,True
720575940622416628,True
720575940622435845,True
720575940622446227,True
720575940622457235,True
720575940622470170,True
720575940622481065,True
720575940622495604,True
720575940622511507,True
720575940622519773,True
720575940622534524,True
720575940622550089,True
720575940622564869,True
720575940622581709,True
720575940622594292,True
720575940622610183,True
720575940622622889,True
720575940622632925,True
720575940622646486,True
720575940622657285,True
720575940622668295,True
720575940622678768,True
720575940622690633,True
720575940622702576,True
720575940622714119,True
720575940622724905,True
720575940622734835,True
720575940622746150,True
720575940622760269,True
720575940622773929,True
720575940622785374,True
720575940622797244,True
720575940622810117,True
720575940622823719,True
720575940622839585,True
720575940622855638,True
720575940622868957,True
720575940622882081,True
720575940622896041,True
720575940622906867,True
720575940622918911,True
720575940622932297,True
720575940622944261,True
720575940622955363,True
720575940622968573,True
720575940622979805,True
720575940622993131,True
720575940623002805,True
720575940623012613,True
720575940623023145,True
720575940623037353,True
720575940623047629,True
720575940623057688,True
720575940623067980,True
720575940623081449,True
720575940623091165,True
720575940623104280,True
720575940623116620,True
720575940623128965,True
720575940623137306,True
720575940623146078,True
720575940623155917,True
720575940623166471,True
720575940623180577,True
720575940623190089,True
720575940623202045,True
720575940623214861,True
720575940623226259,True
720575940623240060,True
720575940623253223,True
720575940623264906,True
720575940623279821,True
720575940623291647,True
720575940623304906,True
720575940623315836,True
720575940623325772,True
720575940623337471,True
720575940623349784,True
720575940623362380,True
720575940623374377,True
720575940623387372,True
720575940623398438,True
720575940623410961,True
720575940623425097,True
720575940623436285,True
720575940623444189,True
720575940623454916,True
720575940623465098,True
720575940623478154,True
720575940623492632,True
720575940623502119,True
720575940623512004,True
720575940623524819,True
720575940623536086,True
720575940623547160,True
720575940623560328,True
720575940623578260,True
720575940623592124,True
720575940623606419,True
720575940623620095,True
720575940623633885,True
720575940623645965,True
720575940623660740,True
720575940623675831,True
720575940623689194,True
720575940623705368,True
720575940623721195,True
720575940623733709,True
720575940623746708,True
720575940623762058,True
720575940623777771,True
720575940623789704,True
720575940623803114,True
720575940623817735,True
720575940623830675,True
720575940623846157,True
720575940623858628,True
720575940623871502,True
720575940623881619,True
720575940623891943,True
720575940623901965,True
720575940623914509,True
720575940623927303,True
720575940623938311,True
720575940623949668,True
720575940623962111,True
720575940623976072,True
720575940623987469,True
720575940624000949,True
720575940624010569,True
720575940624019128,True
720575940624028647,True
720575940624042503,True
720575940624054792,True
720575940624066342,True
720575940624080201,True
720575940624092168,True
720575940624102670,True
720575940624111763,True
720575940624124109,True
720575940624136636,True
720575940624147976,True
720575940624158906,True
720575940624169653,True
720575940624180616,True
720575940624191379,True
720575940624202387,True
720575940624214825,True
720575940624226795,True
720575940624239498,True
720575940624251274,True
720575940624264009,True
720575940624275785,True
720575940624287211,True
720575940624297727,True
720575940624308115,True
720575940624319752,True
720575940624330281,True
720575940624342515,True
720575940624352041,True
720575940624363817,True
720575940624376300,True
720575940624387818,True
720575940624400823,True
720575940624412454,True
720575940624426760,True
720575940624438535,True
720575940624451145,True
720575940624467947,True
720575940624484866,True
720575940624496969,True
720575940624514535,True
720575940624529445,True
720575940624542541,True
720575940624561241,True
720575940624574100,True
720575940624587534,True
720575940624598605,True
720575940624611405,True
720575940624626215,True
720575940624641680,True
720575940624660313,True
720575940624673936,True
720575940624687850,True
720575940624700088,True
720575940624712206,True
720575940624724458,True
720575940624739571,True
720575940624752316,True
720575940624766700,True
720575940624780361,True
720575940624795575,True
720575940624806397,True
720575940624819975,True
720575940624835472,True
720575940624850362,True
720575940624860599,True
720575940624872340,True
720575940624883639,True
720575940624894247,True
720575940624907337,True
720575940624918972,True
720575940624930485,True
720575940624941244,True
720575940624953444,True
720575940624966414,True
720575940624979132,True
720575940624990782,True
720575940625003152,True
720575940625013996,True
720575940625023416,True
720575940625034170,True
720575940625045790,True
720575940625055817,True
720575940625066483,True
720575940625081272,True
720575940625094684,True
720575940625107384,True
720575940625119625,True
720575940625136421,True
720575940625151420,True
720575940625162621,True
720575940625175310,True
720575940625191352,True
720575940625214986,True
720575940625233552,True
720575940625253694,True
720575940625270200,True
720575940625283770,True
720575940625300519,True
720575940625312356,True
720575940625328176,True
720575940625342908,True
720575940625356732,True
720575940625371155,True
720575940625385289,True
720575940625397581,True
720575940625413965,True
720575940625427272,True
720575940625442192,True
720575940625453145,True
720575940625467011,True
720575940625483133,True
720575940625493400,True
720575940625507888,True
720575940625522509,True
720575940625535369,True
720575940625552103,True
720575940625568231,True
720575940625581716,True
720575940625599208,True
720575940625615508,True
720575940625629198,True
720575940625645208,True
720575940625657928,True
720575940625669032,True
720575940625681080,True
720575940625693488,True
720575940625704752,True
720575940625720762,True
720575940625734588,True
720575940625748510,True
720575940625761448,True
720575940625773699,True
720575940625787320,True
720575940625800786,True
720575940625811518,True
720575940625823376,True
720575940625837460,True
720575940625850980,True
720575940625865008,True
720575940625879433,True
720575940625892280,True
720575940625903626,True
720575940625917735,True
720575940625932302,True
720575940625945843,True
720575940625958192,True
720575940625969166,True
720575940625981028,True
720575940625994483,True
720575940626005586,True
720575940626018096,True
720575940626028732,True
720575940626044348,True
720575940626059657,True
720575940626075850,True
720575940626087780,True
720575940626098234,True
720575940626111015,True
720575940626127248,True
720575940626144574,True
720575940626161224,True
720575940626175619,True
720575940626191635,True
720575940626207888,True
720575940626221872,True
720575940626237726,True
720575940626252746,True
720575940626267261,True
720575940626281790,True
720575940626295396,True
720575940626310150,True
720575940626322903,True
720575940626338096,True
720575940626350157,True
720575940626365005,True
720575940626377093,True
720575940626393104,True
720575940626403400,True
720575940626417027,True
720575940626432345,True
720575940626447653,True
720575940626463107,True
720575940626477498,True
720575940626491727,True
720575940626506472,True
720575940626520880,True
720575940626535445,True
720575940626550018,True
720575940626564964,True
720575940626576892,True
720575940626586823,True
720575940626603594,True
720575940626617543,True
720575940626630288,True
720575940626641539,True
720575940626652035,True
720575940626664336,True
720575940626675075,True
720575940626688772,True
720575940626700294,True
720575940626711941,True
720575940626726458,True
720575940626738825,True
720575940626749061,True
720575940626761990,True
720575940626776963,True
720575940626785124,True
720575940626798101,True
720575940626806821,True
720575940626819356,True
720575940626832412,True
720575940626843236,True
720575940626853306,True
720575940626862692,True
720575940626873444,True
720575940626884926,True
720575940626896636,True
720575940626907112,True
720575940626919426,True
720575940626931658,True
720575940626943491,True
720575940626953597,True
720575940626967311,True
720575940626977067,True
720575940626986014,True
720575940626999689,True
720575940627012881,True
720575940627022394,True
720575940627034398,True
720575940627043666,True
720575940627053903,True
720575940627065877,True
720575940627076298,True
720575940627086266,True
720575940627096876,True
720575940627105864,True
720575940627116730,True
720575940627129346,True
720575940627142552,True
720575940627150650,True
720575940627159498,True
720575940627169636,True
720575940627176478,True
720575940627185436,True
720575940627195691,True
720575940627208211,True
720575940627217410,True
720575940627227773,True
720575940627241402,True
720575940627251864,True
720575940627263765,True
720575940627274345,True
720575940627284798,True
720575940627293201,True
720575940627303273,True
720575940627312773,True
720575940627326229,True
720575940627334756,True
720575940627346186,True
720575940627357457,True
720575940627371602,True
720575940627384582,True
720575940627396881,True
720575940627408024,True
720575940627418750,True
720575940627428248,True
720575940627442709,True
720575940627455560,True
720575940627468273,True
720575940627478760,True
720575940627489068,True
720575940627501189,True
720575940627514562,True
720575940627524371,True
720575940627537095,True
720575940627549608,True
720575940627561502,True
720575940627577105,True
720575940627590187,True
720575940627606375,True
720575940627621501,True
720575940627634777,True
720575940627648299,True
720575940627661077,True
720575940627671177,True
720575940627684997,True
720575940627699538,True
720575940627710480,True
720575940627719752,True
720575940627731176,True
720575940627741713,True
720575940627754492,True
720575940627766814,True
720575940627778393,True
720575940627787609,True
720575940627800316,True
720575940627812168,True
720575940627824712,True
720575940627837096,True
720575940627850087,True
720575940627861521,True
720575940627871384,True
720575940627886023,True
720575940627900047,True
720575940627910419,True
720575940627921924,True
720575940627932840,True
720575940627944708,True
720575940627953950,True
720575940627967866,True
720575940627979496,True
720575940627991689,True
720575940628003433,True
720575940628014391,True
720575940628027800,True
720575940628037105,True
720575940628049963,True
720575940628063208,True
720575940628074089,True
720575940628083581,True
720575940628096488,True
720575940628107776,True
720575940628119555,True
720575940628132938,True
720575940628141052,True
720575940628154364,True
720575940628167848,True
720575940628180935,True
720575940628195015,True
720575940628207370,True
720575940628218129,True
720575940628230223,True
720575940628241226,True
720575940628253010,True
720575940628265732,True
720575940628279292,True
720575940628293737,True
720575940628302858,True
720575940628312658,True
720575940628322759,True
720575940628334090,True
720575940628346186,True
720575940628354801,True
720575940628362813,True
720575940628372562,True
720575940628383560,True
720575940628397775,True
720575940628406549,True
720575940628416232,True
720575940628429950,True
720575940628443127,True
720575940628455686,True
720575940628467462,True
720575940628481301,True
720575940628495447,True
720575940628513015,True
720575940628525062,True
720575940628538055,True
720575940628549653,True
720575940628561111,True
720575940628574225,True
720575940628586408,True
720575940628597191,True
720575940628610012,True
720575940628623212,True
720575940628636944,True
720575940628648809,True
720575940628659318,True
720575940628673786,True
720575940628687259,True
720575940628699560,True
720575940628713988,True
720575940628726278,True
720575940628740849,True
720575940628751975,True
720575940628764203,True
720575940628777448,True
720575940628787528,True
720575940628795377,True
720575940628806659,True
720575940628816917,True
720575940628827586,True
720575940628842472,True
720575940628857092,True
720575940628870632,True
720575940628885066,True
720575940628895593,True
720575940628907524,True
720575940628918827,True
720575940628933194,True
720575940628945145,True
720575940628958449,True
720575940628972332,True
720575940628987210,True
720575940629000603,True
720575940629011535,True
720575940629022875,True
720575940629036331,True
720575940629048119,True
720575940629064186,True
720575940629078215,True
720575940629093173,True
720575940629107984,True
720575940629123177,True
720575940629136506,True
720575940629148145,True
720575940629159785,True
720575940629171447,True
720575940629183337,True
720575940629199810,True
720575940629212675,True
720575940629231888,True
720575940629243910,True
720575940629256015,True
720575940629271260,True
720575940629289546,True
720575940629304783,True
720575940629319174,True
720575940629334427,True
720575940629349340,True
720575940629365776,True
720575940629379334,True
720575940629389827,True
720575940629405190,True
720575940629418345,True
720575940629429118,True
720575940629444102,True
720575940629459718,True
720575940629471682,True
720575940629483576,True
720575940629494022,True
720575940629504630,True
720575940629516793,True
720575940629531497,True
720575940629544235,True
720575940629559034,True
720575940629574082,True
720575940629588523,True
720575940629602090,True
720575940629619499,True
720575940629638186,True
720575940629653626,True
720575940629668713,True
720575940629678864,True
720575940629697835,True
720575940629710444,True
720575940629725302,True
720575940629740560,True
720575940629753551,True
720575940629766615,True
720575940629783082,True
720575940629795227,True
720575940629809231,True
720575940629824828,True
720575940629837355,True
720575940629849404,True
720575940629861163,True
720575940629874806,True
720575940629886967,True
720575940629901047,True
720575940629913655,True
720575940629925647,True
720575940629937530,True
720575940629947664,True
720575940629959468,True
720575940629971791,True
720575940629984103,True
720575940629998491,True
720575940630011690,True
720575940630025039,True
720575940630037079,True
720575940630049617,True
720575940630065468,True
720575940630084507,True
720575940630097987,True
720575940630111610,True
720575940630125306,True
720575940630140519,True
720575940630153978,True
720575940630165820,True
720575940630179388,True
720575940630192938,True
720575940630205500,True
720575940630219851,True
720575940630233559,True
720575940630247579,True
720575940630258572,True
720575940630272108,True
720575940630285356,True
720575940630299127,True
720575940630311183,True
720575940630324992,True
720575940630340664,True
720575940630355783,True
720575940630371578,True
720575940630384890,True
720575940630399995,True
720575940630415866,True
720575940630427643,True
720575940630441299,True
720575940630456005,True
720575940630466295,True
720575940630481399,True
720575940630494776,True
720575940630508495,True
720575940630521916,True
720575940630538809,True
720575940630548162,True
720575940630562297,True
720575940630575042,True
720575940630587964,True
720575940630600951,True
720575940630610938,True
720575940630623819,True
720575940630641183,True
720575940630651510,True
720575940630665157,True
720575940630675326,True
720575940630685660,True
720575940630697979,True
720575940630709499,True
720575940630721150,True
720575940630733178,True
720575940630744019,True
720575940630755446,True
720575940630768940,True
720575940630779383,True
720575940630791272,True
720575940630804674,True
720575940630816450,True
720575940630827660,True
720575940630839656,True
720575940630856668,True
720575940630875387,True
720575940630887737,True
720575940630902083,True
720575940630911533,True
720575940630924625,True
720575940630936407,True
720575940630949071,True
720575940630960325,True
720575940630972921,True
720575940630984655,True
720575940630995537,True
720575940631007051,True
720575940631020027,True
720575940631034711,True
720575940631049002,True
720575940631062572,True
720575940631078460,True
720575940631090732,True
720575940631100928,True
720575940631111983,True
720575940631125036,True
720575940631139153,True
720575940631152492,True
720575940631164476,True
720575940631179807,True
720575940631190314,True
720575940631205948,True
720575940631221564,True
720575940631235692,True
720575940631247164,True
720575940631257133,True
720575940631269903,True
720575940631281483,True
720575940631294531,True
720575940631306233,True
720575940631317985,True
720575940631333113,True
720575940631347242,True
720575940631366483,True
720575940631380695,True
720575940631394883,True
720575940631408548,True
720575940631422776,True
720575940631438329,True
720575940631451897,True
720575940631466583,True
720575940631480919,True
720575940631495499,True
720575940631507963,True
720575940631523671,True
720575940631536455,True
720575940631550715,True
720575940631566841,True
720575940631579211,True
720575940631594833,True
720575940631612012,True
720575940631624504,True
720575940631637243,True
720575940631651810,True
720575940631668823,True
720575940631686239,True
720575940631701608,True
720575940631717167,True
720575940631731560,True
720575940631748653,True
720575940631767353,True
720575940631787095,True
720575940631805999,True
720575940631824146,True
720575940631842956,True
720575940631864659,True
720575940631880505,True
720575940631896546,True
720575940631912389,True
720575940631926599,True
720575940631941167,True
720575940631957644,True
720575940631969867,True
720575940631981143,True
720575940631994386,True
720575940632007186,True
720575940632021835,True
720575940632037224,True
720575940632053835,True
720575940632068383,True
720575940632082001,True
720575940632093544,True
720575940632110543,True
720575940632126008,True
720575940632147215,True
720575940632167481,True
720575940632183948,True
720575940632201007,True
720575940632218984,True
720575940632236956,True
720575940632256481,True
720575940632269098,True
